,base,clouds,cod,coord,dt,id,main,name,rain,sys,timezone,weather,wind,visibility
42,stations,{'all': 47},200.0,"{'lon': -53.46, 'lat': -33.69}",1563235547.0,3443061.0,"{'temp': 9.11, 'pressure': 1022.13, 'humidity': 87, 'temp_min': 9.11, 'temp_max': 9.11, 'sea_level': 1022.13, 'grnd_level': 1021.32}",Chuy,{'3h': 0.188},"{'message': 0.0078, 'country': 'UY', 'sunrise': 1563186970, 'sunset': 1563223377}",-10800.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 3.77, 'deg': 225.118}",
43,stations,{'all': 8},200.0,"{'lon': -71.14, 'lat': 21.46}",1563235543.0,3576994.0,"{'temp': 28.21, 'pressure': 1016.63, 'humidity': 79, 'temp_min': 28.21, 'temp_max': 28.21, 'sea_level': 1016.63, 'grnd_level': 1016.87}",Cockburn Town,,"{'message': 0.0067, 'country': 'TC', 'sunrise': 1563185442, 'sunset': 1563233393}",-14400.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 8.78, 'deg': 94.893}",
44,stations,{'all': 100},200.0,"{'lon': 168.86, 'lat': -46.19}",1563235488.0,6201424.0,"{'temp': 6.11, 'pressure': 986, 'humidity': 96, 'temp_min': 6.11, 'temp_max': 6.11}",Mataura,{'3h': 0.5},"{'type': 3, 'id': 2008959, 'message': 0.0096, 'country': 'NZ', 'sunrise': 1563222096, 'sunset': 1563254343}",43200.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 2.24, 'deg': 228, 'gust': 5.81}",
45,stations,{'all': 0},200.0,"{'lon': -42.07, 'lat': -16.85}",1563235577.0,3471846.0,"{'temp': 17.41, 'pressure': 1016.89, 'humidity': 48, 'temp_min': 17.41, 'temp_max': 17.41, 'sea_level': 1016.89, 'grnd_level': 948.74}",Aracuai,,"{'message': 0.007, 'country': 'BR', 'sunrise': 1563182264, 'sunset': 1563222617}",-10800.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 1.07, 'deg': 219.361}",
46,stations,{'all': 40},200.0,"{'lon': -155.08, 'lat': 19.71}",1563235525.0,5855927.0,"{'temp': 27.91, 'pressure': 1016, 'humidity': 58, 'temp_min': 24.44, 'temp_max': 30.56}",Hilo,,"{'type': 1, 'id': 7881, 'message': 0.0068, 'country': 'US', 'sunrise': 1563205787, 'sunset': 1563253342}",-36000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 6.2, 'deg': 40, 'gust': 8.7}",16093.0
47,stations,{'all': 97},200.0,"{'lon': 9.34, 'lat': 56.77}",1563235875.0,2622310.0,"{'temp': 13.21, 'pressure': 1013, 'humidity': 93, 'temp_min': 12.78, 'temp_max': 13.89}",Farso,,"{'type': 1, 'id': 1579, 'message': 0.0092, 'country': 'DK', 'sunrise': 1563245588, 'sunset': 1563307426}",7200.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 6.2, 'deg': 280}",10000.0
48,stations,{'all': 1},200.0,"{'lon': -147.8, 'lat': 64.86}",1563235498.0,5859699.0,"{'temp': 24.84, 'pressure': 1005, 'humidity': 36, 'temp_min': 24, 'temp_max': 26.11}",College,,"{'type': 1, 'id': 7684, 'message': 0.0075, 'country': 'US', 'sunrise': 1563191532, 'sunset': 1563264103}",-28800.0,"[{'id': 711, 'main': 'Smoke', 'description': 'smoke', 'icon': '50n'}]","{'speed': 1.5, 'deg': 290}",16093.0
49,stations,{'all': 0},200.0,"{'lon': 26.89, 'lat': -33.59}",1563235509.0,964432.0,"{'temp': 13.33, 'pressure': 1022, 'humidity': 88, 'temp_min': 13.33, 'temp_max': 13.33}",Port Alfred,,"{'type': 3, 'id': 2011314, 'message': 0.006, 'country': 'ZA', 'sunrise': 1563254054, 'sunset': 1563290535}",7200.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 0.89, 'deg': 333, 'gust': 1.34}",
50,stations,{'all': 0},200.0,"{'lon': 121.89, 'lat': -33.86}",1563235281.0,2071860.0,"{'temp': 5, 'pressure': 1031, 'humidity': 93, 'temp_min': 5, 'temp_max': 5}",Esperance,,"{'type': 1, 'id': 9525, 'message': 0.0076, 'country': 'AU', 'sunrise': 1563231298, 'sunset': 1563267689}",28800.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 5.7, 'deg': 350}",10000.0
51,stations,{'all': 84},200.0,"{'lon': 43.28, 'lat': -11.38}",1563235875.0,921786.0,"{'temp': 24.11, 'pressure': 1018.33, 'humidity': 72, 'temp_min': 24.11, 'temp_max': 24.11, 'sea_level': 1018.33, 'grnd_level': 1018.1}",Mitsamiouli,{'3h': 4.625},"{'message': 0.006, 'country': 'KM', 'sunrise': 1563247629, 'sunset': 1563289092}",10800.0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]","{'speed': 2.2, 'deg': 32.157}",
